測站名稱,測站ID,縣市,鄉鎮,高度(m),緯度(WGS84),經度(WGS84),觀測時間,天氣狀況,氣溫(℃),相對濕度(%),氣壓(hPa),降雨量(mm),風速(m/s),風向(度),今日最高溫(℃),最高溫時間,今日最低溫(℃),最低溫時間
雪見,C0E940,苗栗縣,泰安鄉,1881.0,24.425950,121.013470,2026-07-02T10:00:00+08:00,晴,18.9,86,817.3,0.0,3.1,290.0,21.6,2026-07-02T07:40:00+08:00,17.4,2026-07-02T01:40:00+08:00
松安,C0E950,苗栗縣,泰安鄉,1328.0,24.397920,120.985990,2026-07-02T10:00:00+08:00,晴,27.0,76,868.3,0.0,0.7,254.0,27.0,2026-07-02T10:00:00+08:00,19.2,2026-07-02T01:50:00+08:00
觀霧分站,C0E960,苗栗縣,泰安鄉,2094.0,24.505781,121.113921,2026-07-02T10:00:00+08:00,晴,23.1,71,795.5,0.0,0.7,320.0,23.1,2026-07-02T10:00:00+08:00,16.6,2026-07-02T01:50:00+08:00
樂山林道6k,C0D750,新竹縣,五峰鄉,2292.0,24.499990,121.087730,2026-07-02T10:00:00+08:00,晴,20.2,82,769.4,0.0,0.9,288.0,20.8,2026-07-02T09:10:00+08:00,14.2,2026-07-02T01:40:00+08:00
大坪苗圃,C0D760,新竹縣,五峰鄉,1371.0,24.536200,121.110800,2026-07-02T10:00:00+08:00,晴,24.6,79,862.6,0.0,1.9,349.0,26.2,2026-07-02T07:50:00+08:00,19.6,2026-07-02T01:00:00+08:00
東眼山,C0C790,桃園市,復興區,858.0,24.828400,121.408880,2026-07-02T10:00:00+08:00,晴,25.7,94,915.6,0.0,0.9,213.0,26.2,2026-07-02T09:50:00+08:00,20.6,2026-07-02T03:40:00+08:00
四稜,C0C800,桃園市,復興區,1167.0,24.647330,121.429300,2026-07-02T10:00:00+08:00,晴,28.7,56,884.2,0.0,1.3,110.0,28.7,2026-07-02T10:00:00+08:00,19.9,2026-07-02T05:40:00+08:00
明池,C0UB60,宜蘭縣,大同鄉,1163.0,24.650688,121.475277,2026-07-02T10:00:00+08:00,晴,29.3,62,885.0,0.0,1.2,129.0,29.3,2026-07-02T10:00:00+08:00,17.7,2026-07-02T04:50:00+08:00
太平山中間站,C0UB70,宜蘭縣,大同鄉,890.0,24.542003,121.513453,2026-07-02T10:00:00+08:00,晴,29.4,59,914.0,0.0,1.0,290.0,30.4,2026-07-02T09:50:00+08:00,22.2,2026-07-02T04:40:00+08:00
翠峰林道6K,C0UB80,宜蘭縣,大同鄉,1981.0,24.497730,121.568625,2026-07-02T10:00:00+08:00,晴,23.9,69,804.0,0.0,0.7,239.0,23.9,2026-07-02T10:00:00+08:00,14.3,2026-07-02T01:40:00+08:00
太平山莊,C0UB90,宜蘭縣,大同鄉,1925.0,24.494171,121.536209,2026-07-02T10:00:00+08:00,晴,24.9,63,810.5,0.0,2.1,147.0,25.0,2026-07-02T09:30:00+08:00,16.2,2026-07-02T01:40:00+08:00
大樹,C0V910,高雄市,大樹區,50.0,22.684645,120.432803,2026-07-02T10:00:00+08:00,晴,32.4,66,1006.2,0.0,1.8,163.0,33.1,2026-07-02T09:50:00+08:00,26.9,2026-07-02T04:50:00+08:00
太平里,C0AK10,新北市,林口區,18.0,25.134937,121.364899,2026-07-02T10:00:00+08:00,晴,30.4,76,1008.8,0.0,1.8,306.0,30.4,2026-07-02T10:00:00+08:00,27.3,2026-07-02T04:30:00+08:00
美和,C0SB10,臺東縣,太麻里鄉,28.0,22.682078,121.060236,2026-07-02T10:00:00+08:00,多雲,31.0,72,1010.4,0.0,1.7,201.0,31.1,2026-07-02T07:40:00+08:00,26.4,2026-07-02T04:50:00+08:00
富岡,C0SB20,臺東縣,臺東市,29.0,22.792467,121.192669,2026-07-02T10:00:00+08:00,多雲,31.2,73,1009.0,0.0,1.5,141.0,31.3,2026-07-02T06:50:00+08:00,27.8,2026-07-02T04:40:00+08:00
新蘭,C0SB30,臺東縣,東河鄉,60.0,22.869214,121.223228,2026-07-02T10:00:00+08:00,晴,30.3,77,1006.4,0.0,1.6,158.0,32.3,2026-07-02T07:00:00+08:00,26.9,2026-07-02T04:00:00+08:00
興隆,C0SB40,臺東縣,東河鄉,65.0,22.913661,121.257469,2026-07-02T10:00:00+08:00,晴,30.9,71,1005.4,0.0,2.5,143.0,32.0,2026-07-02T07:20:00+08:00,26.4,2026-07-02T05:10:00+08:00
叭嗡嗡,C0SB50,臺東縣,成功鎮,7.0,23.047062,121.343223,2026-07-02T10:00:00+08:00,晴,29.8,81,1010.0,0.0,3.4,190.0,30.4,2026-07-02T06:50:00+08:00,26.6,2026-07-02T04:00:00+08:00
白守蓮,C0SB60,臺東縣,成功鎮,20.0,23.126769,121.401914,2026-07-02T10:00:00+08:00,晴,31.3,73,1010.5,0.0,1.8,161.0,31.8,2026-07-02T08:00:00+08:00,26.5,2026-07-02T05:00:00+08:00
小港漁港,C0SB70,臺東縣,成功鎮,28.0,23.158558,121.400431,2026-07-02T10:00:00+08:00,晴,31.3,72,1010.2,0.0,3.6,175.0,31.7,2026-07-02T08:50:00+08:00,26.1,2026-07-02T05:20:00+08:00
長濱漁港,C0SB80,臺東縣,長濱鄉,53.0,23.313644,121.459994,2026-07-02T10:00:00+08:00,晴,29.4,82,1007.7,0.0,2.9,233.0,30.3,2026-07-02T07:40:00+08:00,27.6,2026-07-02T04:00:00+08:00
花蓮漁港,C0TA10,花蓮縣,花蓮市,17.0,23.995322,121.638331,2026-07-02T10:00:00+08:00,晴,28.5,78,1009.7,0.0,5.4,182.0,28.6,2026-07-02T09:40:00+08:00,26.2,2026-07-02T05:20:00+08:00
加灣,C0TA20,花蓮縣,秀林鄉,45.0,24.082025,121.608944,2026-07-02T10:00:00+08:00,晴,31.7,66,1007.8,0.0,3.3,145.0,32.0,2026-07-02T09:00:00+08:00,25.3,2026-07-02T05:00:00+08:00
鹽寮,C0TA30,花蓮縣,壽豐鄉,11.0,23.845606,121.592664,2026-07-02T10:00:00+08:00,晴,30.6,74,1010.1,0.0,3.6,189.0,30.9,2026-07-02T07:40:00+08:00,26.0,2026-07-02T05:10:00+08:00
大甲溪埔,C0FB70,臺中市,大甲區,41.0,24.370625,120.620067,2026-07-02T10:00:00+08:00,多雲,30.4,76,1007.6,0.0,1.6,310.0,30.5,2026-07-02T09:50:00+08:00,26.7,2026-07-02T02:00:00+08:00
和美,C0G9B0,彰化縣,和美鎮,26.0,24.105169,120.492131,2026-07-02T10:00:00+08:00,晴,31.5,73,1008.4,0.0,2.5,327.0,31.6,2026-07-02T09:50:00+08:00,27.9,2026-07-02T04:00:00+08:00
鼻頭,C0R860,屏東縣,滿州鄉,31.0,22.104300,120.897883,2026-07-02T10:00:00+08:00,多雲,27.2,96,1009.9,22.5,2.6,16.0,27.6,2026-07-02T02:00:00+08:00,25.6,2026-07-02T05:10:00+08:00
興海,C0R870,屏東縣,滿州鄉,13.0,21.975177,120.843919,2026-07-02T10:00:00+08:00,多雲,29.2,86,1011.4,15.5,4.3,140.0,29.5,2026-07-02T09:50:00+08:00,26.4,2026-07-02T04:30:00+08:00
後壁湖,C0R880,屏東縣,恆春鎮,13.0,21.945666,120.745705,2026-07-02T10:00:00+08:00,多雲有雨,28.1,93,1010.7,2.0,7.6,102.0,29.5,2026-07-02T08:30:00+08:00,27.2,2026-07-02T04:50:00+08:00
山海,C0R890,屏東縣,恆春鎮,33.0,21.987777,120.709119,2026-07-02T10:00:00+08:00,多雲,28.7,83,1009.2,11.5,6.1,151.0,29.7,2026-07-02T09:40:00+08:00,26.4,2026-07-02T05:20:00+08:00
竹坑,C0R900,屏東縣,車城鄉,30.0,22.138450,120.702150,2026-07-02T10:00:00+08:00,多雲有雨,29.6,76,1010.8,3.0,4.7,147.0,29.9,2026-07-02T00:50:00+08:00,28.0,2026-07-02T05:40:00+08:00
加祿堂,C0R940,屏東縣,枋山鄉,24.0,22.336306,120.621722,2026-07-02T10:00:00+08:00,陰,33.0,54,1009.0,0.0,3.9,141.0,33.0,2026-07-02T10:00:00+08:00,27.1,2026-07-02T04:00:00+08:00
鯤鯓國小,C0N010,臺南市,將軍區,19.0,23.187875,120.088900,2026-07-02T10:00:00+08:00,晴,31.0,78,1009.8,0.0,1.8,279.0,32.0,2026-07-02T08:30:00+08:00,27.9,2026-07-02T04:00:00+08:00
下寮,C0R910,屏東縣,枋寮鄉,8.0,22.392861,120.554780,2026-07-02T10:00:00+08:00,多雲,30.1,80,1010.3,0.0,8.7,176.0,32.7,2026-07-02T08:00:00+08:00,27.5,2026-07-02T04:40:00+08:00
塭仔,C0R920,屏東縣,佳冬鄉,19.0,22.416933,120.519661,2026-07-02T10:00:00+08:00,多雲,30.2,64,1009.5,0.0,8.5,168.0,31.7,2026-07-02T08:50:00+08:00,26.5,2026-07-02T05:20:00+08:00
汕尾,C0V900,高雄市,林園區,6.0,22.478205,120.415136,2026-07-02T10:00:00+08:00,多雲,29.8,81,1010.3,0.0,8.4,165.0,31.4,2026-07-02T08:20:00+08:00,27.2,2026-07-02T05:40:00+08:00
鳳鼻頭,C0V840,高雄市,小港區,35.0,22.508275,120.359141,2026-07-02T10:00:00+08:00,多雲,31.3,74,1009.3,0.0,1.7,320.0,32.1,2026-07-02T08:00:00+08:00,27.9,2026-07-02T05:00:00+08:00
蚵仔寮,C0V850,高雄市,梓官區,22.0,22.725647,120.252675,2026-07-02T10:00:00+08:00,晴,29.9,76,1010.0,0.0,2.9,235.0,30.5,2026-07-02T07:00:00+08:00,27.3,2026-07-02T05:30:00+08:00
南寮,C0V860,高雄市,彌陀區,10.0,22.761616,120.233925,2026-07-02T10:00:00+08:00,晴,29.9,83,1011.3,0.0,2.4,265.0,30.3,2026-07-02T09:40:00+08:00,27.8,2026-07-02T05:30:00+08:00
文安,C0V870,高雄市,彌陀區,23.0,22.802525,120.216369,2026-07-02T10:00:00+08:00,晴,30.9,80,1011.0,0.0,2.2,247.0,31.3,2026-07-02T07:20:00+08:00,28.3,2026-07-02T05:00:00+08:00
興達,C0V880,高雄市,茄萣區,19.0,22.877755,120.212747,2026-07-02T10:00:00+08:00,晴,30.8,75,1010.8,0.0,1.9,243.0,31.3,2026-07-02T07:50:00+08:00,27.5,2026-07-02T05:00:00+08:00
城西,C0N020,臺南市,安南區,27.0,23.056805,120.095569,2026-07-02T10:00:00+08:00,晴,31.7,72,1009.4,0.0,1.5,279.0,31.7,2026-07-02T08:10:00+08:00,27.7,2026-07-02T03:50:00+08:00
四草,C0N030,臺南市,安南區,2.0,23.023541,120.111633,2026-07-02T10:00:00+08:00,晴,31.0,68,1010.9,0.0,1.8,228.0,31.1,2026-07-02T09:50:00+08:00,27.7,2026-07-02T04:00:00+08:00
蘆竹溝,C0N040,臺南市,北門區,22.0,23.234405,120.096125,2026-07-02T10:00:00+08:00,晴,30.1,81,1010.0,0.0,2.4,342.0,31.5,2026-07-02T08:30:00+08:00,28.3,2026-07-02T03:40:00+08:00
蚵寮,C0N050,臺南市,北門區,37.0,23.300997,120.110375,2026-07-02T10:00:00+08:00,晴,31.1,81,1009.2,0.0,1.7,339.0,31.7,2026-07-02T08:50:00+08:00,28.4,2026-07-02T04:50:00+08:00
前鎮,C0V890,高雄市,前鎮區,25.0,22.572152,120.311191,2026-07-02T10:00:00+08:00,晴,31.1,71,1009.6,0.0,5.0,164.0,31.3,2026-07-02T08:10:00+08:00,28.7,2026-07-02T04:20:00+08:00
澳底,C0AJ90,新北市,貢寮區,23.0,25.055192,121.925264,2026-07-02T10:00:00+08:00,多雲,29.4,80,1008.5,0.0,2.7,50.0,29.8,2026-07-02T09:30:00+08:00,25.7,2026-07-02T04:10:00+08:00
七美,C0W180,澎湖縣,七美鄉,29.0,23.219333,119.444892,2026-07-02T10:00:00+08:00,多雲,30.4,84,1007.4,0.0,1.4,56.0,30.4,2026-07-02T10:00:00+08:00,26.3,2026-07-02T05:30:00+08:00
望安,C0W190,澎湖縣,望安鄉,52.0,23.380564,119.494075,2026-07-02T10:00:00+08:00,晴,29.6,82,1005.6,0.0,3.3,79.0,29.8,2026-07-02T08:30:00+08:00,25.8,2026-07-02T05:30:00+08:00
湖西,C0W200,澎湖縣,湖西鄉,18.0,23.596314,119.672750,2026-07-02T10:00:00+08:00,多雲,29.8,86,1010.3,0.0,2.6,26.0,29.9,2026-07-02T08:40:00+08:00,26.2,2026-07-02T02:20:00+08:00
北竿,C0W220,連江縣,北竿鄉,40.0,26.220358,119.974881,2026-07-02T10:00:00+08:00,晴,31.3,66,1005.6,0.0,2.8,165.0,31.3,2026-07-02T10:00:00+08:00,27.4,2026-07-02T04:50:00+08:00
九宮,C0W240,金門縣,烈嶼鄉,52.0,24.423753,118.240186,2026-07-02T10:00:00+08:00,晴,31.0,70,1006.6,0.0,2.4,218.0,31.8,2026-07-02T09:00:00+08:00,28.0,2026-07-02T03:00:00+08:00
萬隆國小,C0R950,屏東縣,新埤鄉,51.0,22.507667,120.587817,2026-07-02T10:00:00+08:00,多雲,32.3,65,1004.6,0.0,1.5,244.0,33.4,2026-07-02T09:40:00+08:00,26.3,2026-07-02T04:40:00+08:00
白沙屯,C0E570,苗栗縣,通霄鎮,31.0,24.549447,120.696803,2026-07-02T10:00:00+08:00,陰,29.3,87,1010.1,0.0,3.1,324.0,29.7,2026-07-02T06:40:00+08:00,27.3,2026-07-02T05:20:00+08:00
內埔,C0R960,屏東縣,內埔鄉,58.0,22.608483,120.570714,2026-07-02T10:00:00+08:00,多雲,33.4,59,1006.6,0.0,1.2,337.0,33.7,2026-07-02T09:50:00+08:00,26.2,2026-07-02T05:20:00+08:00
科教館,C0A770,臺北市,士林區,60.0,25.096356,121.516506,2026-07-02T10:00:00+08:00,晴,33.3,70,1005.5,0.0,0.3,163.0,33.8,2026-07-02T09:20:00+08:00,26.7,2026-07-02T04:10:00+08:00
大溪漁港,C0UA80,宜蘭縣,頭城鎮,10.0,24.941803,121.902956,2026-07-02T10:00:00+08:00,多雲,28.4,83,1010.3,0.0,4.1,31.0,31.1,2026-07-02T07:30:00+08:00,26.6,2026-07-02T03:50:00+08:00
石城,C0UA90,宜蘭縣,頭城鎮,5.0,24.980444,121.951214,2026-07-02T10:00:00+08:00,多雲,30.1,74,1010.6,0.0,1.3,82.0,31.9,2026-07-02T08:10:00+08:00,26.2,2026-07-02T05:00:00+08:00
大武崙,C0B040,基隆市,安樂區,15.0,25.166678,121.706994,2026-07-02T10:00:00+08:00,晴,29.3,84,1011.0,0.0,2.1,79.0,30.6,2026-07-02T06:50:00+08:00,25.0,2026-07-02T04:50:00+08:00
野柳,C0AJ20,新北市,萬里區,77.0,25.207031,121.690022,2026-07-02T10:00:00+08:00,晴,29.1,84,1004.9,0.0,2.2,104.0,30.3,2026-07-02T07:40:00+08:00,26.4,2026-07-02T04:10:00+08:00
淡水觀海,C0AJ30,新北市,淡水區,22.0,25.184592,121.408617,2026-07-02T10:00:00+08:00,晴,30.2,80,1008.8,0.0,2.1,287.0,31.8,2026-07-02T07:40:00+08:00,27.0,2026-07-02T05:10:00+08:00
竹圍,C0C720,桃園市,大園區,21.0,25.112694,121.239825,2026-07-02T10:00:00+08:00,晴,30.3,80,1009.9,0.0,3.0,293.0,30.6,2026-07-02T09:50:00+08:00,27.6,2026-07-02T04:40:00+08:00
中大臨海站,C0C730,桃園市,新屋區,5.0,24.966128,121.008583,2026-07-02T10:00:00+08:00,晴,32.2,73,1011.7,0.0,1.2,310.0,32.2,2026-07-02T10:00:00+08:00,26.1,2026-07-02T04:50:00+08:00
石門,C0AJ40,新北市,石門區,154.0,25.273672,121.601200,2026-07-02T10:00:00+08:00,晴,31.0,79,995.4,0.0,1.7,26.0,31.3,2026-07-02T08:40:00+08:00,23.7,2026-07-02T04:00:00+08:00
觀音工業區,C0C740,桃園市,觀音區,5.3,25.064767,121.114858,2026-07-02T10:00:00+08:00,晴,30.1,81,1011.1,0.0,2.5,285.0,30.2,2026-07-02T09:00:00+08:00,28.0,2026-07-02T05:00:00+08:00
海天一線,C0D670,新竹市,北區,23.0,24.831989,120.914439,2026-07-02T10:00:00+08:00,多雲,31.0,81,1010.1,0.0,2.0,319.0,31.0,2026-07-02T10:00:00+08:00,26.0,2026-07-02T05:10:00+08:00
香山濕地,C0D680,新竹市,香山區,22.0,24.783583,120.914989,2026-07-02T10:00:00+08:00,多雲,29.8,84,1010.5,0.0,2.8,323.0,30.2,2026-07-02T08:20:00+08:00,26.7,2026-07-02T05:30:00+08:00
水湳洞,C0AJ50,新北市,瑞芳區,30.0,25.123697,121.862239,2026-07-02T10:00:00+08:00,晴,30.8,78,1009.8,0.0,0.8,107.0,30.8,2026-07-02T10:00:00+08:00,26.1,2026-07-02T04:50:00+08:00
八斗子,C0B050,基隆市,中正區,5.0,25.144756,121.791672,2026-07-02T10:00:00+08:00,晴,29.3,84,1011.3,0.0,2.0,29.0,31.5,2026-07-02T07:10:00+08:00,26.3,2026-07-02T05:20:00+08:00
外湖,C0D690,新竹縣,新豐鄉,20.0,24.917736,120.968711,2026-07-02T10:00:00+08:00,晴,29.3,88,1010.5,0.0,2.6,300.0,29.4,2026-07-02T09:00:00+08:00,26.3,2026-07-02T05:40:00+08:00
海埔,C0E910,苗栗縣,後龍鎮,25.0,24.648769,120.772436,2026-07-02T10:00:00+08:00,多雲,30.1,83,1010.5,0.0,1.6,343.0,30.4,2026-07-02T08:00:00+08:00,26.7,2026-07-02T05:20:00+08:00
通霄漁港,C0E920,苗栗縣,通霄鎮,20.0,24.498589,120.673878,2026-07-02T10:00:00+08:00,陰,29.3,81,1011.2,0.0,2.5,354.0,29.3,2026-07-02T10:00:00+08:00,27.1,2026-07-02T03:30:00+08:00
松柏,C0FA10,臺中市,大甲區,22.0,24.429117,120.617483,2026-07-02T10:00:00+08:00,多雲,32.2,70,1010.0,0.0,0.9,42.0,32.2,2026-07-02T10:00:00+08:00,27.2,2026-07-02T05:50:00+08:00
溫寮,C0FA20,臺中市,大安區,26.0,24.372178,120.583125,2026-07-02T10:00:00+08:00,多雲,30.1,80,1010.3,0.0,3.0,348.0,30.1,2026-07-02T10:00:00+08:00,27.6,2026-07-02T02:20:00+08:00
龍鳳,C0E930,苗栗縣,竹南鎮,26.0,24.700036,120.859128,2026-07-02T10:00:00+08:00,多雲,30.1,85,1011.3,0.0,2.3,320.0,31.4,2026-07-02T07:20:00+08:00,27.6,2026-07-02T05:30:00+08:00
淡江大學蘭陽校園,C0UB00,宜蘭縣,礁溪鄉,379.0,24.823239,121.730383,2026-07-02T10:00:00+08:00,晴,30.4,78,969.5,0.0,1.0,116.0,30.4,2026-07-02T08:40:00+08:00,23.0,2026-07-02T04:00:00+08:00
林邊,C0R850,屏東縣,林邊鄉,16.0,22.463447,120.533892,2026-07-02T10:00:00+08:00,多雲,33.2,68,1010.5,0.0,1.4,332.0,33.3,2026-07-02T09:00:00+08:00,25.3,2026-07-02T05:00:00+08:00
